x,y
1.59218,2.89669
1.59926,2.90375
1.60642,2.91073
1.61366,2.91764
1.62097,2.92446
1.62836,2.9312
1.63581,2.93786
1.64334,2.94445
1.65093,2.95096
1.65859,2.95739
1.66631,2.96374
1.6741,2.97001
1.68195,2.97621
1.68986,2.98233
1.69782,2.98838
1.70584,2.99435
1.71397,3.00018
1.7222,3.00585
1.73054,3.01137
1.73898,3.01674
1.74752,3.02195
1.75615,3.027
1.76487,3.03189
1.77368,3.03661
1.78258,3.04118
1.79155,3.04559
1.80061,3.04983
1.80974,3.05391
1.81894,3.05783
1.82821,3.06158
1.83755,3.06516
1.84694,3.06859
1.8564,3.07185
1.8659,3.07494
1.87547,3.07787
1.88508,3.08064
1.89473,3.08324
1.90443,3.08568
1.91416,3.08796
1.92394,3.09008
1.93374,3.09204
1.94358,3.09384
1.95345,3.09548
1.96334,3.09696
1.97325,3.09829
1.98318,3.09946
1.99313,3.10048
2.00309,3.10135
2.01306,3.10207
2.02305,3.10263
2.03304,3.10305
2.04303,3.10333
2.05303,3.10346
2.06303,3.10345
2.07303,3.10329
2.08303,3.103
2.09302,3.10257
2.103,3.10201
2.11298,3.10131
2.12294,3.10048
2.1329,3.09952
2.14284,3.09843
2.15276,3.09721
2.16267,3.09587
2.17257,3.09441
2.18244,3.09283
2.19229,3.09113
2.20213,3.08931
2.21194,3.08738
2.22173,3.08533
2.23149,3.08318
2.24123,3.08091
2.25095,3.07854
2.26063,3.07606
2.2703,3.07348
2.27993,3.0708
2.28953,3.06802
2.29911,3.06513
2.30866,3.06216
2.31817,3.05909
2.32766,3.05592
2.33712,3.05267
2.34654,3.04932
2.35593,3.04589
2.36545,3.04284
2.37493,3.03964
2.38436,3.0363
2.39373,3.03282
2.40305,3.0292
2.41232,3.02545
2.42154,3.02157
2.4307,3.01755
2.4398,3.01341
2.44884,3.00915
2.45783,3.00476
2.46676,3.00025
2.47562,2.99563
2.48443,2.99089
2.49317,2.98604
2.50185,2.98107
2.51047,2.976
2.51903,2.97083
2.52752,2.96555
2.53595,2.96017
2.54432,2.95469
2.55262,2.94911
2.56086,2.94344
2.56903,2.93768
2.57714,2.93183
2.58518,2.92589
2.59316,2.91986
2.60108,2.91375
2.60893,2.90756
2.61672,2.90129
